node_id,industry_id,industry_name
159,159,"Recreational, cultural and sporting activities (92)"
160,160,Other service activities (93)
161,161,Private households with employed persons (95)
162,162,Extra-territorial organizations and bodies
163,0,Cultivation of paddy rice
164,1,Cultivation of wheat
165,2,Cultivation of cereal grains nec
166,3,"Cultivation of vegetables, fruit, nuts"
167,4,Cultivation of oil seeds
168,5,"Cultivation of sugar cane, sugar beet"
169,6,Cultivation of plant-based fibers
170,7,Cultivation of crops nec
171,8,Cattle farming
172,9,Pigs farming
173,10,Poultry farming
174,11,Meat animals nec
175,12,Animal products nec
176,13,Raw milk
177,14,"Wool, silk-worm cocoons"
178,15,"Manure treatment (conventional), storage and land application"
179,16,"Manure treatment (biogas), storage and land application"
180,17,"Forestry, logging and related service activities (02)"
181,18,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
182,19,Mining of coal and lignite; extraction of peat (10)
183,20,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
184,21,"Extraction of natural gas and services related to natural gas extraction, excluding surveying"
185,22,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
186,23,Mining of uranium and thorium ores (12)
187,24,Mining of iron ores
188,25,Mining of copper ores and concentrates
189,26,Mining of nickel ores and concentrates
190,27,Mining of aluminium ores and concentrates
191,28,Mining of precious metal ores and concentrates
192,29,"Mining of lead, zinc and tin ores and concentrates"
193,30,Mining of other non-ferrous metal ores and concentrates
194,31,Quarrying of stone
195,32,Quarrying of sand and clay
196,33,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
197,34,Processing of meat cattle
198,35,Processing of meat pigs
199,36,Processing of meat poultry
200,37,Production of meat products nec
201,38,Processing vegetable oils and fats
202,39,Processing of dairy products
203,40,Processed rice
204,41,Sugar refining
205,42,Processing of Food products nec
206,43,Manufacture of beverages
207,44,Manufacture of fish products
208,45,Manufacture of tobacco products (16)
209,46,Manufacture of textiles (17)
210,47,Manufacture of wearing apparel; dressing and dyeing of fur (18)
211,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
212,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
213,50,Re-processing of secondary wood material into new wood material
214,51,Pulp
215,52,Re-processing of secondary paper into new pulp
216,53,Paper
217,54,"Publishing, printing and reproduction of recorded media (22)"
218,55,Manufacture of coke oven products
219,56,Petroleum Refinery
220,57,Processing of nuclear fuel
221,58,"Plastics, basic"
222,59,Re-processing of secondary plastic into new plastic
223,60,N-fertiliser
224,61,P- and other fertiliser
225,62,Chemicals nec
226,63,Manufacture of rubber and plastic products (25)
227,64,Manufacture of glass and glass products
228,65,Re-processing of secondary glass into new glass
229,66,Manufacture of ceramic goods
230,67,"Manufacture of bricks, tiles and construction products, in baked clay"
231,68,"Manufacture of cement, lime and plaster"
232,69,Re-processing of ash into clinker
233,70,Manufacture of other non-metallic mineral products n.e.c.
234,71,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
235,72,Re-processing of secondary steel into new steel
236,73,Precious metals production
237,74,Re-processing of secondary preciuos metals into new preciuos metals
238,75,Aluminium production
239,76,Re-processing of secondary aluminium into new aluminium
240,77,"Lead, zinc and tin production"
241,78,"Re-processing of secondary lead into new lead, zinc and tin"
242,79,Copper production
243,80,Re-processing of secondary copper into new copper
244,81,Other non-ferrous metal production
245,82,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
246,83,Casting of metals
247,84,"Manufacture of fabricated metal products, except machinery and equipment (28)"
248,85,Manufacture of machinery and equipment n.e.c. (29)
249,86,Manufacture of office machinery and computers (30)
250,87,Manufacture of electrical machinery and apparatus n.e.c. (31)
251,88,"Manufacture of radio, television and communication equipment and apparatus (32)"
252,89,"Manufacture of medical, precision and optical instruments, watches and clocks (33)"
253,90,"Manufacture of motor vehicles, trailers and semi-trailers (34)"
254,91,Manufacture of other transport equipment (35)
255,92,Manufacture of furniture; manufacturing n.e.c. (36)
256,93,Recycling of waste and scrap
257,94,Recycling of bottles by direct reuse
258,95,Production of electricity by coal
259,96,Production of electricity by gas
260,97,Production of electricity by nuclear
261,98,Production of electricity by hydro
262,99,Production of electricity by wind
263,100,Production of electricity by petroleum and other oil derivatives
264,101,Production of electricity by biomass and waste
265,102,Production of electricity by solar photovoltaic
266,103,Production of electricity by solar thermal
267,104,"Production of electricity by tide, wave, ocean"
268,105,Production of electricity by Geothermal
269,106,Production of electricity nec
270,107,Transmission of electricity
271,108,Distribution and trade of electricity
272,109,Manufacture of gas; distribution of gaseous fuels through mains
273,110,Steam and hot water supply
274,111,"Collection, purification and distribution of water (41)"
275,112,Construction (45)
276,113,Re-processing of secondary construction material into aggregates
277,114,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
278,115,Retail sale of automotive fuel
279,116,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
280,117,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
281,118,Hotels and restaurants (55)
282,119,Transport via railways
283,120,Other land transport
284,121,Transport via pipelines
285,122,Sea and coastal water transport
286,123,Inland water transport
287,124,Air transport (62)
288,125,Supporting and auxiliary transport activities; activities of travel agencies (63)
289,126,Post and telecommunications (64)
290,127,"Financial intermediation, except insurance and pension funding (65)"
291,128,"Insurance and pension funding, except compulsory social security (66)"
292,129,Activities auxiliary to financial intermediation (67)
293,130,Real estate activities (70)
294,131,Renting of machinery and equipment without operator and of personal and household goods (71)
295,132,Computer and related activities (72)
296,133,Research and development (73)
297,134,Other business activities (74)
