,0
"('AT', 'Distribution and trade of electricity')",8455.61410598
"('AT', 'Manufacture of gas; distribution of gaseous fuels through mains')",13045.5993507
"('AT', 'Steam and hot water supply')",227.46875754
"('AT', 'Collection, purification and distribution of water (41)')",1689.44810533
"('AT', 'Construction (45)')",70244.4344337
"('AT', 'Re-processing of secondary construction material into aggregates')",0.0
"('AT', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",11566.772798
"('AT', 'Retail sale of automotive fuel')",164.964351785
"('AT', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')",33149.6221523
"('AT', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')",30612.7676451
"('AT', 'Hotels and restaurants (55)')",30743.6147707
"('AT', 'Transport via railways')",11287.3233105
"('AT', 'Other land transport')",28713.9438205
"('AT', 'Transport via pipelines')",1729.23491919
"('AT', 'Sea and coastal water transport')",110.862425179
"('AT', 'Inland water transport')",353.230779018
"('AT', 'Air transport (62)')",5593.81709871
"('AT', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')",26804.4949768
"('AT', 'Post and telecommunications (64)')",7677.47267407
"('AT', 'Financial intermediation, except insurance and pension funding (65)')",16.7957348012
"('AT', 'Insurance and pension funding, except compulsory social security (66)')",3606.36174126
"('AT', 'Activities auxiliary to financial intermediation (67)')",1804.3335383
"('AT', 'Real estate activities (70)')",23054.5240656
"('AT', 'Renting of machinery and equipment without operator and of personal and household goods (71)')",210.521070603
"('AT', 'Computer and related activities (72)')",44861.6223241
"('AT', 'Research and development (73)')",2351.04945211
"('AT', 'Other business activities (74)')",18635.9941481
"('AT', 'Public administration and defence; compulsory social security (75)')",18563.6214891
"('AT', 'Education (80)')",103959.74553
"('AT', 'Health and social work (85)')",31922.8415091
"('AT', 'Incineration of waste: Food')",10.9300675693
"('AT', 'Incineration of waste: Paper')",14.8327417126
"('AT', 'Incineration of waste: Plastic')",26.0678292704
"('AT', 'Incineration of waste: Metals and Inert materials')",80.2264799463
"('AT', 'Incineration of waste: Textiles')",2.46359868053
