,0
"('IE', 'Lead, zinc and tin production')",827.008103698
"('IE', 'Re-processing of secondary lead into new lead, zinc and tin')",0.0
"('IE', 'Copper production')",66.1895969469
"('IE', 'Re-processing of secondary copper into new copper')",0.0
"('IE', 'Other non-ferrous metal production')",487.182697484
"('IE', 'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals')",0.0
"('IE', 'Casting of metals')",0.0
"('IE', 'Manufacture of fabricated metal products, except machinery and equipment (28)')",11139.7796397
"('IE', 'Manufacture of machinery and equipment n.e.c. (29)')",255.619928253
"('IE', 'Manufacture of office machinery and computers (30)')",5388.92276718
"('IE', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')",1260.08552552
"('IE', 'Manufacture of radio, television and communication equipment and apparatus (32)')",1285.04897463
"('IE', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')",0.0280076521303
"('IE', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')",317.779937777
"('IE', 'Manufacture of other transport equipment (35)')",72.9813277773
"('IE', 'Manufacture of furniture; manufacturing n.e.c. (36)')",2639.74054818
"('IE', 'Recycling of waste and scrap')",0.0335933475358
"('IE', 'Recycling of bottles by direct reuse')",0.0
"('IE', 'Production of electricity by coal')",45.7024685888
"('IE', 'Production of electricity by gas')",1109.15587473
"('IE', 'Production of electricity by nuclear')",0.0
"('IE', 'Production of electricity by hydro')",63.7375234452
"('IE', 'Production of electricity by wind')",788.965336115
"('IE', 'Production of electricity by petroleum and other oil derivatives')",42.7859038949
"('IE', 'Production of electricity by biomass and waste')",83.6347726626
"('IE', 'Production of electricity by solar photovoltaic')",4.37213451497
"('IE', 'Production of electricity by solar thermal')",0.0
"('IE', 'Production of electricity by tide, wave, ocean')",0.0
"('IE', 'Production of electricity by Geothermal')",0.0
"('IE', 'Production of electricity nec')",0.0
"('IE', 'Transmission of electricity')",263.104727639
"('IE', 'Distribution and trade of electricity')",1162.57408796
"('IE', 'Manufacture of gas; distribution of gaseous fuels through mains')",2848.60718147
"('IE', 'Steam and hot water supply')",0.0
"('IE', 'Collection, purification and distribution of water (41)')",372.861102272
"('IE', 'Construction (45)')",45247.7042136
"('IE', 'Re-processing of secondary construction material into aggregates')",0.0
"('IE', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",2481.98981863
"('IE', 'Retail sale of automotive fuel')",7.3804621563
"('IE', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')",47779.0589639
"('IE', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')",19118.5548744
"('IE', 'Hotels and restaurants (55)')",8639.8068174
"('IE', 'Transport via railways')",8164.34796752
"('IE', 'Other land transport')",23916.6923715
"('IE', 'Transport via pipelines')",2468.23057908
"('IE', 'Sea and coastal water transport')",11452.4905904
"('IE', 'Inland water transport')",999.62852458
"('IE', 'Air transport (62)')",110881.677552
"('IE', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')",49275.7828792
"('IE', 'Post and telecommunications (64)')",18778.4030675
"('IE', 'Financial intermediation, except insurance and pension funding (65)')",8897.03233056
"('IE', 'Insurance and pension funding, except compulsory social security (66)')",20303.0973269
"('IE', 'Activities auxiliary to financial intermediation (67)')",29330.7569264
"('IE', 'Real estate activities (70)')",20469.0100916
"('IE', 'Renting of machinery and equipment without operator and of personal and household goods (71)')",92839.4049258
"('IE', 'Computer and related activities (72)')",78798.9669246
"('IE', 'Research and development (73)')",44170.9735882
"('IE', 'Other business activities (74)')",34738.052729
"('IE', 'Public administration and defence; compulsory social security (75)')",9380.30525935
"('IE', 'Education (80)')",11575.3316893
"('IE', 'Health and social work (85)')",11785.6773558
"('IE', 'Incineration of waste: Food')",0.0
"('IE', 'Incineration of waste: Paper')",1.0485496812e-05
"('IE', 'Incineration of waste: Plastic')",2.70017043599e-05
"('IE', 'Incineration of waste: Metals and Inert materials')",0.0476810467626
"('IE', 'Incineration of waste: Textiles')",0.0
"('IE', 'Incineration of waste: Wood')",7.7539308225e-05
"('IE', 'Incineration of waste: Oil/Hazardous waste')",0.0419851661281
"('IE', 'Biogasification of food waste, incl. land application')",0.0
"('IE', 'Biogasification of paper, incl. land application')",0.0
"('IE', 'Biogasification of sewage slugde, incl. land application')",0.15813759453
"('IE', 'Composting of food waste, incl. land application')",0.164039187272
"('IE', 'Composting of paper and wood, incl. land application')",0.0
"('IE', 'Waste water treatment, food')",0.0668192140751
"('IE', 'Waste water treatment, other')",0.160141745904
"('IE', 'Landfill of waste: Food')",0.319547642165
"('IE', 'Landfill of waste: Paper')",0.225036449364
"('IE', 'Landfill of waste: Plastic')",0.0162538492669
"('IE', 'Landfill of waste: Inert/metal/hazardous')",0.0537344448538
"('IE', 'Landfill of waste: Textiles')",0.0395301288766
"('IE', 'Landfill of waste: Wood')",0.0474512502374
"('IE', 'Activities of membership organisation n.e.c. (91)')",708.348737799
"('IE', 'Recreational, cultural and sporting activities (92)')",2713.82750634
"('IE', 'Other service activities (93)')",1662.17647523
"('IE', 'Private households with employed persons (95)')",110.909705226
"('IE', 'Extra-territorial organizations and bodies')",0.0
"('IT', 'Cultivation of paddy rice')",1053.18055878
"('IT', 'Cultivation of wheat')",3129.04651868
"('IT', 'Cultivation of cereal grains nec')",4068.48023498
"('IT', 'Cultivation of vegetables, fruit, nuts')",34545.996592
"('IT', 'Cultivation of oil seeds')",388.88377747
"('IT', 'Cultivation of sugar cane, sugar beet')",269.66239737
"('IT', 'Cultivation of plant-based fibers')",1.02036678146
"('IT', 'Cultivation of crops nec')",448.664831647
"('IT', 'Cattle farming')",4754.77225573
"('IT', 'Pigs farming')",4344.25921747
"('IT', 'Poultry farming')",4645.74509853
"('IT', 'Meat animals nec')",1645.38109708
"('IT', 'Animal products nec')",19.347626159
"('IT', 'Raw milk')",7438.36395913
"('IT', 'Wool, silk-worm cocoons')",20.6504427576
"('IT', 'Manure treatment (conventional), storage and land application')",0.0
"('IT', 'Manure treatment (biogas), storage and land application')",0.0
"('IT', 'Forestry, logging and related service activities (02)')",2870.39255123
"('IT', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')",3205.1911789
"('IT', 'Mining of coal and lignite; extraction of peat (10)')",0.0
"('IT', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')",14755.7292275
"('IT', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')",3938.7442553
"('IT', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')",89.7176026405
"('IT', 'Mining of uranium and thorium ores (12)')",0.0
"('IT', 'Mining of iron ores')",0.0
"('IT', 'Mining of copper ores and concentrates')",0.0
"('IT', 'Mining of nickel ores and concentrates')",0.0
"('IT', 'Mining of aluminium ores and concentrates')",0.82898161206
"('IT', 'Mining of precious metal ores and concentrates')",3.57292235652
"('IT', 'Mining of lead, zinc and tin ores and concentrates')",3.52547748677
"('IT', 'Mining of other non-ferrous metal ores and concentrates')",0.731850843209
"('IT', 'Quarrying of stone')",10887.598929
"('IT', 'Quarrying of sand and clay')",9124.29072881
"('IT', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')",3134.87719568
"('IT', 'Processing of meat cattle')",7871.42734597
"('IT', 'Processing of meat pigs')",7199.09662092
"('IT', 'Processing of meat poultry')",3839.63076553
"('IT', 'Production of meat products nec')",2193.5887712
"('IT', 'Processing vegetable oils and fats')",1906.16283812
"('IT', 'Processing of dairy products')",22696.4720761
"('IT', 'Processed rice')",1869.35382932
"('IT', 'Sugar refining')",171.562067286
"('IT', 'Processing of Food products nec')",94791.6937683
"('IT', 'Manufacture of beverages')",34733.1163821
"('IT', 'Manufacture of fish products')",4642.72963285
"('IT', 'Manufacture of tobacco products (16)')",1704.73882894
"('IT', 'Manufacture of textiles (17)')",37418.8436226
"('IT', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')",40630.0541085
"('IT', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')",41150.5520596
"('IT', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')",13555.3764838
"('IT', 'Re-processing of secondary wood material into new wood material')",0.0
"('IT', 'Pulp')",11430.8844892
"('IT', 'Re-processing of secondary paper into new pulp')",0.0
"('IT', 'Paper')",24597.0813924
"('IT', 'Publishing, printing and reproduction of recorded media (22)')",14776.7854286
"('IT', 'Manufacture of coke oven products')",270.52430013
"('IT', 'Petroleum Refinery')",85475.9666524
"('IT', 'Processing of nuclear fuel')",145.300998858
"('IT', 'Plastics, basic')",43389.0106482
"('IT', 'Re-processing of secondary plastic into new plastic')",0.0
"('IT', 'N-fertiliser')",29.2751260218
"('IT', 'P- and other fertiliser')",487.096957267
"('IT', 'Chemicals nec')",34281.198737
"('IT', 'Manufacture of rubber and plastic products (25)')",59266.2437352
"('IT', 'Manufacture of glass and glass products')",6920.48357775
"('IT', 'Re-processing of secondary glass into new glass')",0.0
"('IT', 'Manufacture of ceramic goods')",6723.25011712
"('IT', 'Manufacture of bricks, tiles and construction products, in baked clay')",1788.81197416
"('IT', 'Manufacture of cement, lime and plaster')",14928.3311875
"('IT', 'Re-processing of ash into clinker')",0.0
"('IT', 'Manufacture of other non-metallic mineral products n.e.c.')",6802.76925706
"('IT', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')",10237.735917
"('IT', 'Re-processing of secondary steel into new steel')",34679.7057902
"('IT', 'Precious metals production')",6279.02851033
"('IT', 'Re-processing of secondary preciuos metals into new preciuos metals')",0.0
"('IT', 'Aluminium production')",10064.32778
"('IT', 'Re-processing of secondary aluminium into new aluminium')",0.0
"('IT', 'Lead, zinc and tin production')",2240.5953957
"('IT', 'Re-processing of secondary lead into new lead, zinc and tin')",0.0
"('IT', 'Copper production')",7652.02045852
"('IT', 'Re-processing of secondary copper into new copper')",0.0
"('IT', 'Other non-ferrous metal production')",386.492962153
"('IT', 'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals')",0.0
"('IT', 'Casting of metals')",6195.31968227
"('IT', 'Manufacture of fabricated metal products, except machinery and equipment (28)')",110773.371198
"('IT', 'Manufacture of machinery and equipment n.e.c. (29)')",175974.141855
"('IT', 'Manufacture of office machinery and computers (30)')",29436.7889752
"('IT', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')",0.0470634874552
"('IT', 'Manufacture of radio, television and communication equipment and apparatus (32)')",0.588246389979
"('IT', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')",0.0
"('IT', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')",87734.4370601
"('IT', 'Manufacture of other transport equipment (35)')",31299.7843716
"('IT', 'Manufacture of furniture; manufacturing n.e.c. (36)')",27410.6146871
"('IT', 'Recycling of waste and scrap')",1447.9271188
"('IT', 'Recycling of bottles by direct reuse')",0.0
"('IT', 'Production of electricity by coal')",1943.57911705
"('IT', 'Production of electricity by gas')",16605.8137826
"('IT', 'Production of electricity by nuclear')",0.0
"('IT', 'Production of electricity by hydro')",6907.92093395
"('IT', 'Production of electricity by wind')",2725.57226956
"('IT', 'Production of electricity by petroleum and other oil derivatives')",1450.44207191
"('IT', 'Production of electricity by biomass and waste')",1864.40757027
"('IT', 'Production of electricity by solar photovoltaic')",3623.34631422
"('IT', 'Production of electricity by solar thermal')",0.0
"('IT', 'Production of electricity by tide, wave, ocean')",0.0
"('IT', 'Production of electricity by Geothermal')",875.402328965
"('IT', 'Production of electricity nec')",72.7807113659
"('IT', 'Transmission of electricity')",1309.90682994
"('IT', 'Distribution and trade of electricity')",28190.9660558
"('IT', 'Manufacture of gas; distribution of gaseous fuels through mains')",23840.3231708
"('IT', 'Steam and hot water supply')",1523.49275459
"('IT', 'Collection, purification and distribution of water (41)')",9238.98450996
"('IT', 'Construction (45)')",196725.014054
"('IT', 'Re-processing of secondary construction material into aggregates')",0.0
"('IT', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",46006.791345
"('IT', 'Retail sale of automotive fuel')",5034.6202043
"('IT', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')",188849.875926
"('IT', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')",173213.609251
"('IT', 'Hotels and restaurants (55)')",164359.737167
"('IT', 'Transport via railways')",17651.6667114
"('IT', 'Other land transport')",137457.553887
"('IT', 'Transport via pipelines')",4415.62155683
"('IT', 'Sea and coastal water transport')",16318.9718918
"('IT', 'Inland water transport')",336.282888872
"('IT', 'Air transport (62)')",20106.4097036
"('IT', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')",129362.45771
"('IT', 'Post and telecommunications (64)')",20720.2364887
"('IT', 'Financial intermediation, except insurance and pension funding (65)')",78247.1421952
"('IT', 'Insurance and pension funding, except compulsory social security (66)')",35864.3273845
"('IT', 'Activities auxiliary to financial intermediation (67)')",38487.9127354
"('IT', 'Real estate activities (70)')",217732.899548
"('IT', 'Renting of machinery and equipment without operator and of personal and household goods (71)')",38735.0862659
"('IT', 'Computer and related activities (72)')",74496.3716526
"('IT', 'Research and development (73)')",33242.0546968
"('IT', 'Other business activities (74)')",125706.28505
"('IT', 'Public administration and defence; compulsory social security (75)')",134311.019462
"('IT', 'Education (80)')",90128.0252397
"('IT', 'Health and social work (85)')",157045.839211
"('IT', 'Incineration of waste: Food')",4747.3443974
"('IT', 'Incineration of waste: Paper')",6858.87907571
"('IT', 'Incineration of waste: Plastic')",9708.66532466
"('IT', 'Incineration of waste: Metals and Inert materials')",4597.98429373
"('IT', 'Incineration of waste: Textiles')",1407.5957205
"('IT', 'Incineration of waste: Wood')",4272.1744498
"('IT', 'Incineration of waste: Oil/Hazardous waste')",7575.72619117
"('IT', 'Biogasification of food waste, incl. land application')",810.025805572
"('IT', 'Biogasification of paper, incl. land application')",97.4560273513
"('IT', 'Biogasification of sewage slugde, incl. land application')",132.564723024
"('IT', 'Composting of food waste, incl. land application')",7499.15109752
"('IT', 'Composting of paper and wood, incl. land application')",53.4087586304
"('IT', 'Waste water treatment, food')",5547.02481464
"('IT', 'Waste water treatment, other')",7375.73606478
"('IT', 'Landfill of waste: Food')",14076.573384
"('IT', 'Landfill of waste: Paper')",7732.86448728
"('IT', 'Landfill of waste: Plastic')",2025.52933591
"('IT', 'Landfill of waste: Inert/metal/hazardous')",7777.03005
"('IT', 'Landfill of waste: Textiles')",1921.26394077
"('IT', 'Landfill of waste: Wood')",4244.14383478
"('IT', 'Activities of membership organisation n.e.c. (91)')",4834.05817454
"('IT', 'Recreational, cultural and sporting activities (92)')",18060.135305
"('IT', 'Other service activities (93)')",36086.3543625
"('IT', 'Private households with employed persons (95)')",22537.8503903
"('IT', 'Extra-territorial organizations and bodies')",0.0
"('LT', 'Cultivation of paddy rice')",0.0
"('LT', 'Cultivation of wheat')",803.730036663
"('LT', 'Cultivation of cereal grains nec')",404.906201652
"('LT', 'Cultivation of vegetables, fruit, nuts')",712.427502943
"('LT', 'Cultivation of oil seeds')",397.938692028
"('LT', 'Cultivation of sugar cane, sugar beet')",60.3185849915
"('LT', 'Cultivation of plant-based fibers')",0.0198477596594
"('LT', 'Cultivation of crops nec')",114.724825488
"('LT', 'Cattle farming')",320.49571985
"('LT', 'Pigs farming')",244.4166285
"('LT', 'Poultry farming')",999.57005543
"('LT', 'Meat animals nec')",39.9993826233
"('LT', 'Animal products nec')",1.65188001732
"('LT', 'Raw milk')",1387.25186995
"('LT', 'Wool, silk-worm cocoons')",0.421142142604
"('LT', 'Manure treatment (conventional), storage and land application')",0.0
"('LT', 'Manure treatment (biogas), storage and land application')",0.0
"('LT', 'Forestry, logging and related service activities (02)')",725.344743631
"('LT', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')",528.498239671
"('LT', 'Mining of coal and lignite; extraction of peat (10)')",1.8714959478
"('LT', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')",152.339157847
"('LT', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')",0.0
"('LT', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')",0.0
"('LT', 'Mining of uranium and thorium ores (12)')",0.0
"('LT', 'Mining of iron ores')",0.00232962238882
"('LT', 'Mining of copper ores and concentrates')",0.0
"('LT', 'Mining of nickel ores and concentrates')",0.00232962238882
"('LT', 'Mining of aluminium ores and concentrates')",0.00232962238882
"('LT', 'Mining of precious metal ores and concentrates')",0.00232962238882
"('LT', 'Mining of lead, zinc and tin ores and concentrates')",0.00232962238882
"('LT', 'Mining of other non-ferrous metal ores and concentrates')",0.00232962238882
"('LT', 'Quarrying of stone')",1542.71616458
"('LT', 'Quarrying of sand and clay')",799.460610952
"('LT', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')",0.00238732768541
"('LT', 'Processing of meat cattle')",130.616187834
"('LT', 'Processing of meat pigs')",171.237774884
"('LT', 'Processing of meat poultry')",137.030619766
"('LT', 'Production of meat products nec')",7.9304549868
"('LT', 'Processing vegetable oils and fats')",24.0306030199
"('LT', 'Processing of dairy products')",61.3644465773
"('LT', 'Processed rice')",0.309745919227
"('LT', 'Sugar refining')",82.9939792186
"('LT', 'Processing of Food products nec')",60.7216705893
"('LT', 'Manufacture of beverages')",38.7519836834
"('LT', 'Manufacture of fish products')",12.8218193778
"('LT', 'Manufacture of tobacco products (16)')",18.9318858443
"('LT', 'Manufacture of textiles (17)')",117.034395711
"('LT', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')",154.075155241
"('LT', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')",9.52951788422
"('LT', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')",255.013889177
"('LT', 'Re-processing of secondary wood material into new wood material')",0.0
"('LT', 'Pulp')",51.5963966944
"('LT', 'Re-processing of secondary paper into new pulp')",0.0
"('LT', 'Paper')",67.4801602441
"('LT', 'Publishing, printing and reproduction of recorded media (22)')",32.1504491067
"('LT', 'Manufacture of coke oven products')",0.0
"('LT', 'Petroleum Refinery')",30091.9894057
"('LT', 'Processing of nuclear fuel')",1.09738991864e-07
"('LT', 'Plastics, basic')",162.883267122
"('LT', 'Re-processing of secondary plastic into new plastic')",0.0
"('LT', 'N-fertiliser')",14.5181138416
"('LT', 'P- and other fertiliser')",202.805668251
"('LT', 'Chemicals nec')",203.724956992
"('LT', 'Manufacture of rubber and plastic products (25)')",270.842766927
"('LT', 'Manufacture of glass and glass products')",23.7780077204
"('LT', 'Re-processing of secondary glass into new glass')",0.0
"('LT', 'Manufacture of ceramic goods')",4.82887941097
"('LT', 'Manufacture of bricks, tiles and construction products, in baked clay')",1.91386619248
"('LT', 'Manufacture of cement, lime and plaster')",66.5106698862
"('LT', 'Re-processing of ash into clinker')",0.00232962238882
"('LT', 'Manufacture of other non-metallic mineral products n.e.c.')",21.8602123831
"('LT', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')",26.6638148897
"('LT', 'Re-processing of secondary steel into new steel')",0.0
"('LT', 'Precious metals production')",0.660977780188
"('LT', 'Re-processing of secondary preciuos metals into new preciuos metals')",0.0
"('LT', 'Aluminium production')",17.4781112401
"('LT', 'Re-processing of secondary aluminium into new aluminium')",0.0
"('LT', 'Lead, zinc and tin production')",49.9310158658
"('LT', 'Re-processing of secondary lead into new lead, zinc and tin')",0.0
"('LT', 'Copper production')",31.1602106533
"('LT', 'Re-processing of secondary copper into new copper')",0.0
"('LT', 'Other non-ferrous metal production')",1.96488941444
"('LT', 'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals')",0.0
"('LT', 'Casting of metals')",9.51479605126
"('LT', 'Manufacture of fabricated metal products, except machinery and equipment (28)')",245.992125496
"('LT', 'Manufacture of machinery and equipment n.e.c. (29)')",298.336435536
"('LT', 'Manufacture of office machinery and computers (30)')",192.574159318
"('LT', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')",0.0
"('LT', 'Manufacture of radio, television and communication equipment and apparatus (32)')",0.0
"('LT', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')",0.0
"('LT', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')",409.117677153
"('LT', 'Manufacture of other transport equipment (35)')",49.7038748068
"('LT', 'Manufacture of furniture; manufacturing n.e.c. (36)')",12.7466460276
"('LT', 'Recycling of waste and scrap')",0.0
"('LT', 'Recycling of bottles by direct reuse')",0.0
"('LT', 'Production of electricity by coal')",0.0
"('LT', 'Production of electricity by gas')",108.786428861
"('LT', 'Production of electricity by nuclear')",0.0
"('LT', 'Production of electricity by hydro')",19.2842844764
"('LT', 'Production of electricity by wind')",99.4325898593
"('LT', 'Production of electricity by petroleum and other oil derivatives')",7.88028899883
"('LT', 'Production of electricity by biomass and waste')",9.5460411473
"('LT', 'Production of electricity by solar photovoltaic')",8.26435996782
"('LT', 'Production of electricity by solar thermal')",0.0
"('LT', 'Production of electricity by tide, wave, ocean')",0.0
"('LT', 'Production of electricity by Geothermal')",0.0
"('LT', 'Production of electricity nec')",0.0
"('LT', 'Transmission of electricity')",12.2142635731
"('LT', 'Distribution and trade of electricity')",406.692065488
"('LT', 'Manufacture of gas; distribution of gaseous fuels through mains')",400.147498051
"('LT', 'Steam and hot water supply')",36.9787867648
"('LT', 'Collection, purification and distribution of water (41)')",70.4185505785
"('LT', 'Construction (45)')",15687.3534416
"('LT', 'Re-processing of secondary construction material into aggregates')",0.0
"('LT', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",1644.99269069
"('LT', 'Retail sale of automotive fuel')",94.4520921671
"('LT', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')",9103.36876393
"('LT', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')",4229.15660374
"('LT', 'Hotels and restaurants (55)')",1581.89669147
"('LT', 'Transport via railways')",1509.76374159
"('LT', 'Other land transport')",6939.21093032
"('LT', 'Transport via pipelines')",12.1545315798
"('LT', 'Sea and coastal water transport')",484.126866889
"('LT', 'Inland water transport')",13.8105215538
"('LT', 'Air transport (62)')",1110.3599094
"('LT', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')",5900.80505718
"('LT', 'Post and telecommunications (64)')",273.764907548
"('LT', 'Financial intermediation, except insurance and pension funding (65)')",2164.42486651
"('LT', 'Insurance and pension funding, except compulsory social security (66)')",922.35938981
"('LT', 'Activities auxiliary to financial intermediation (67)')",331.019876922
"('LT', 'Real estate activities (70)')",3059.8722085
"('LT', 'Renting of machinery and equipment without operator and of personal and household goods (71)')",1592.59592753
"('LT', 'Computer and related activities (72)')",3106.17810506
"('LT', 'Research and development (73)')",495.905305684
"('LT', 'Other business activities (74)')",5471.66166636
"('LT', 'Public administration and defence; compulsory social security (75)')",4733.21629288
"('LT', 'Education (80)')",2513.76428626
"('LT', 'Health and social work (85)')",3368.27636426
"('LT', 'Incineration of waste: Food')",0.0013784956796
"('LT', 'Incineration of waste: Paper')",0.00137848049707
"('LT', 'Incineration of waste: Plastic')",0.0
"('LT', 'Incineration of waste: Metals and Inert materials')",92.4462781374
"('LT', 'Incineration of waste: Textiles')",0.0
"('LT', 'Incineration of waste: Wood')",0.0
"('LT', 'Incineration of waste: Oil/Hazardous waste')",3.81593413715
"('LT', 'Biogasification of food waste, incl. land application')",0.0
"('LT', 'Biogasification of paper, incl. land application')",0.0
"('LT', 'Biogasification of sewage slugde, incl. land application')",12.1901981307
"('LT', 'Composting of food waste, incl. land application')",192.090759288
"('LT', 'Composting of paper and wood, incl. land application')",0.0
"('LT', 'Waste water treatment, food')",47.6186983626
"('LT', 'Waste water treatment, other')",76.0843528758
"('LT', 'Landfill of waste: Food')",185.687405317
"('LT', 'Landfill of waste: Paper')",99.6233994173
"('LT', 'Landfill of waste: Plastic')",8.83524860779
"('LT', 'Landfill of waste: Inert/metal/hazardous')",557.274389232
"('LT', 'Landfill of waste: Textiles')",20.9270668766
"('LT', 'Landfill of waste: Wood')",25.3579537276
"('LT', 'Activities of membership organisation n.e.c. (91)')",315.393665529
"('LT', 'Recreational, cultural and sporting activities (92)')",520.249673325
"('LT', 'Other service activities (93)')",832.746519701
"('LT', 'Private households with employed persons (95)')",57.9158396382
"('LT', 'Extra-territorial organizations and bodies')",0.0
"('LU', 'Cultivation of paddy rice')",0.0
"('LU', 'Cultivation of wheat')",57.4510774864
"('LU', 'Cultivation of cereal grains nec')",37.684502357
"('LU', 'Cultivation of vegetables, fruit, nuts')",189.230838691
"('LU', 'Cultivation of oil seeds')",34.6819542298
"('LU', 'Cultivation of sugar cane, sugar beet')",0.0
"('LU', 'Cultivation of plant-based fibers')",0.0
"('LU', 'Cultivation of crops nec')",28.535094814
"('LU', 'Cattle farming')",142.58331663
"('LU', 'Pigs farming')",61.5078061838
"('LU', 'Poultry farming')",22.9545349918
"('LU', 'Meat animals nec')",13.1306703456
"('LU', 'Animal products nec')",10.2295340084
"('LU', 'Raw milk')",297.875504499
"('LU', 'Wool, silk-worm cocoons')",7.95753571673
"('LU', 'Manure treatment (conventional), storage and land application')",0.0
"('LU', 'Manure treatment (biogas), storage and land application')",0.0
"('LU', 'Forestry, logging and related service activities (02)')",30.8094932562
"('LU', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')",15.9064541101
"('LU', 'Mining of coal and lignite; extraction of peat (10)')",0.0
"('LU', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')",0.0
"('LU', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')",14.9135646743
"('LU', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')",0.0
"('LU', 'Mining of uranium and thorium ores (12)')",0.0
"('LU', 'Mining of iron ores')",0.0
"('LU', 'Mining of copper ores and concentrates')",0.0
"('LU', 'Mining of nickel ores and concentrates')",0.0
"('LU', 'Mining of aluminium ores and concentrates')",0.0
"('LU', 'Mining of precious metal ores and concentrates')",0.0
"('LU', 'Mining of lead, zinc and tin ores and concentrates')",0.0
"('LU', 'Mining of other non-ferrous metal ores and concentrates')",0.0
"('LU', 'Quarrying of stone')",334.930220032
"('LU', 'Quarrying of sand and clay')",272.005578445
"('LU', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')",0.0
"('LU', 'Processing of meat cattle')",396.503966349
"('LU', 'Processing of meat pigs')",229.076814257
"('LU', 'Processing of meat poultry')",9.50136123172
"('LU', 'Production of meat products nec')",11.2685730225
"('LU', 'Processing vegetable oils and fats')",13.6721283599
"('LU', 'Processing of dairy products')",1361.92822412
"('LU', 'Processed rice')",40.2632011273
"('LU', 'Sugar refining')",73.764250883
"('LU', 'Processing of Food products nec')",2869.91653486
"('LU', 'Manufacture of beverages')",958.230874507
"('LU', 'Manufacture of fish products')",292.686362646
"('LU', 'Manufacture of tobacco products (16)')",2780.46954762
"('LU', 'Manufacture of textiles (17)')",893.766424395
"('LU', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')",9.79122829921
"('LU', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')",0.0
"('LU', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')",285.256871809
"('LU', 'Re-processing of secondary wood material into new wood material')",0.0
"('LU', 'Pulp')",25.7485278109
"('LU', 'Re-processing of secondary paper into new pulp')",0.0
"('LU', 'Paper')",151.323099204
"('LU', 'Publishing, printing and reproduction of recorded media (22)')",11.0972676024
"('LU', 'Manufacture of coke oven products')",0.0
"('LU', 'Petroleum Refinery')",725.131911327
"('LU', 'Processing of nuclear fuel')",0.0
"('LU', 'Plastics, basic')",0.0
"('LU', 'Re-processing of secondary plastic into new plastic')",0.0
