"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('CN', 'Transport via pipelines')","0.103393599408067","0.103383178274925","0.000906929713065413"
"('US', 'Production of electricity by gas')","0.0244831358733919","0.0244470961617414","0.00102903731120126"
"('CN', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.0124093998863902","0.0117821773214643","0.00404608644213687"
"('US', 'Production of electricity by nuclear')","0.0232631730593798","0.0232615402238989","0.000265968542633351"
"('CN', 'Computer and related activities (72)')","0.00645060372863893","0.00321238658197938","0.00611638806115654"
"('CN', 'Production of meat products nec')","0.0718279252722889","0.0717960572317214","0.00146018699948183"
"('CN', 'Pigs farming')","0.0622014416099246","0.0620437300516582","0.00447693415114707"
"('US', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.0106504410652817","0.0103264543360889","0.00291512140638335"
"('CN', 'Processing of Food products nec')","0.0568987987430657","0.0550740795873713","0.0172702112851596"
"('CN', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')","0.0347504812389578","0.0286992489912971","0.0235196416578356"
"('AU', 'Mining of nickel ores and concentrates')","0.0293813781899619","0.0293780896729013","3.33603164141075e-05"
"('CN', 'Production of electricity by gas')","0.0262672402436922","0.0261632355707737","0.00067000723080211"
"('CN', 'Cultivation of vegetables, fruit, nuts')","0.0595334614434433","0.0587976144976077","0.00667513623781743"
"('US', 'Distribution and trade of electricity')","0.0224127857275294","0.0224044150446817","0.00126330675047949"
"('US', 'Air transport (62)')","0.00615330305025313","0.00513499049649745","0.00348388639526371"
"('CN', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')","0.00808454933926943","0.00534349391723775","0.00629528468353212"
"('CN', 'Paper')","0.0475712750513575","0.0455636104819299","0.0107427149273801"
"('CN', 'Cultivation of sugar cane, sugar beet')","0.0582700845405575","0.05826732851462","0.00050760338094251"
"('US', 'Computer and related activities (72)')","0.00934434880325422","0.00849168573744501","0.00816105589157943"
"('US', 'Petroleum Refinery')","0.0309795293274156","0.0245973576903404","0.0163513398331183"
"('CN', 'Meat animals nec')","0.0525909259416631","0.0525801951709572","0.000443432649753284"
"('US', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.0235813861551898","0.0235749572499972","0.00117876058536522"
"('CN', 'Activities auxiliary to financial intermediation (67)')","0.00742176258356876","0.00732275696227956","0.00209455085241374"
"('US', 'Retail sale of automotive fuel')","0.0140417679651695","0.0135470295420959","0.00109127611611625"
"('CN', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')","0.0289969975328047","0.0149847716129902","0.0268657469856727"
"('CN', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')","0.0208096801089862","0.0208086414376224","0.000154770875715366"
"('CN', 'Processing of meat pigs')","0.0479966840049997","0.0470998337422075","0.00518439697616476"
"('CN', 'Cultivation of paddy rice')","0.0467901676452718","0.0467851173271434","0.00140243394882558"
"('US', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.0240838324667003","0.0233763368273225","0.0116706779827261"
"('CN', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')","0.0289936369943608","0.0251185195986703","0.0143845431213603"
"('CN', 'Manufacture of textiles (17)')","0.0290080503200865","0.0255496823248408","0.0183498887279664"
"('CN', 'Processed rice')","0.0454420664945861","0.0449528222931831","0.00159329946880108"
"('CN', 'Manufacture of fabricated metal products, except machinery and equipment (28)')","0.175234910962547","0.173564592874429","0.025088176799005"
"('WM', 'Production of electricity by petroleum and other oil derivatives')","0.0241069530310994","0.0240775837850836","0.00026085893394162"
"('US', 'Manufacture of other transport equipment (35)')","0.00238512319356343","0.00106382576487671","0.00233247183589872"
"('US', 'Production of electricity by wind')","0.0123584736757273","0.012358318077932","0.000117698843809561"
"('US', 'Transmission of electricity')","0.0143996132925818","0.014398739822179","0.000291775122883932"
"('WA', 'N-fertiliser')","0.0140665115981694","0.0140393709013302","0.000186918250663975"
"('US', 'Other business activities (74)')","0.0321532988175658","0.0316550626979214","0.023721896852098"
"('CN', 'Manufacture of gas; distribution of gaseous fuels through mains')","0.0202453973866137","0.0201041049621005","0.00108357041435736"
"('US', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')","0.0100620628272328","0.00254580243427154","0.0100587051857938"
"('CN', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')","0.0268382227682045","0.0256106979633631","0.00561518667011358"
"('CN', 'Wool, silk-worm cocoons')","0.0255737575499262","0.0255677514837598","9.92020509050384e-05"
"('CN', 'Manufacture of office machinery and computers (30)')","0.0243118682871618","0.0185376760942194","0.0213423056136679"
"('US', 'Inland water transport')","0.00393448475388361","0.00381390099796564","0.000323604392351275"
"('US', 'Production of electricity by solar thermal')","8.36936324558133e-07","8.34013229354364e-07","8.36936324558133e-07"
"('US', 'Production of electricity by Geothermal')","0.0040251978534745","0.00402470707039026","4.78022124893034e-06"
"('ES', 'Mining of copper ores and concentrates')","0.0150299665497013","0.01500694547763","7.09079780043394e-05"
"('BE', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')","0.0212341589691773","0.0212140844192003","8.55473486217176e-05"
"('WA', 'Processing vegetable oils and fats')","0.0474693527847223","0.047202066180409","0.0012074929935425"
"('DE', 'Production of electricity by biomass and waste')","0.0128200757256605","0.0128175692014683","3.78521849742358e-05"
"('AU', 'Mining of precious metal ores and concentrates')","0.0136027291534679","0.0135074904623122","0.000194038323729971"
"('US', 'Research and development (73)')","0.0134459667972799","0.0026205924124287","0.0134349428945522"
"('WA', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.0186093208750203","0.0185547214781282","0.00119293969601306"
"('US', 'Health and social work (85)')","0.0206703139505329","0.000828410515564765","0.0206703139505217"
"('WM', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.00996721790788144","0.00959896962360328","0.00586809026713137"
"('CN', 'Other business activities (74)')","0.0204661886673949","0.016990604120119","0.0189590664430299"
"('CN', 'P- and other fertiliser')","0.0730227289102657","0.0720142675528685","0.00677636306199962"
"('CN', 'Animal products nec')","0.0299060641641626","0.0299054979287964","0.000190611150231022"
"('CN', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.00789316846757761","0.00613431679871058","0.00670258048795828"
"('CN', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.0129715551118363","0.0127357095629469","0.00185081382994535"
"('CN', 'Processing of meat poultry')","0.0354763712019926","0.0351453952570648","0.00269385898629377"
"('WA', 'Production of meat products nec')","0.0251257419701449","0.0246925876972664","0.00135068947693442"
"('CN', 'Cultivation of wheat')","0.0192591666608661","0.019160037035652","0.000863935679205803"
"('WM', 'N-fertiliser')","0.0119259345727956","0.0119179574166407","7.86558505939189e-05"
"('US', 'Transport via railways')","0.0110526031327501","0.0110349183360704","0.000777266844216177"
"('US', 'Production of electricity by solar photovoltaic')","0.00597487083352257","0.00597484387237228","3.94795210143266e-05"
"('CN', 'Education (80)')","0.00519110286250062","0.00101587256070665","0.00518893619260741"
"('CN', 'Poultry farming')","0.0319544016478775","0.0317224026353542","0.00419747081039388"
"('JP', 'Production of electricity nec')","0.0140392763210642","0.0140384528349982","8.6862940435099e-06"
"('US', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.00951182354802595","0.00936636772088788","0.00148632286126096"
"('KR', 'Plastics, basic')","0.0077523993825987","0.00749043147975187","0.00128813647333057"
"('CN', 'N-fertiliser')","0.0089484229886466","0.00894655156467974","8.13895191192391e-05"
"('CN', 'Cultivation of oil seeds')","0.0167153190011497","0.0165641564867438","0.00138476487455884"
"('DE', 'Construction (45)')","0.00605031830115212","0.00321543521456466","0.00501598663978077"
"('US', 'Manufacture of rubber and plastic products (25)')","0.00881268338521825","0.00640247156302962","0.00640598634010513"
"('CN', 'Cultivation of cereal grains nec')","0.0188744975774523","0.0187109692837224","0.00165291941544236"
"('US', 'Chemicals nec')","0.00852156912103716","0.00592282142450208","0.00631526504175677"
"('WA', 'Construction (45)')","0.00686357896279679","0.00178985571379025","0.00656069484765623"
"('US', 'Production of electricity by coal')","0.00513002189834387","0.00497705390531738","0.000515841669146617"
"('FR', 'Production of electricity by nuclear')","0.00568798271810475","0.00550158930337592","0.000532324298892486"
"('US', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')","0.00944045306283464","0.00280445974604992","0.00938639039963113"
"('TR', 'Quarrying of stone')","0.00730733305361054","0.00726959948973354","0.000114218270818612"
"('US', 'Manufacture of bricks, tiles and construction products, in baked clay')","0.00577208854241765","0.00576467876528025","0.000235173893621612"
"('US', 'Plastics, basic')","0.00687796184100716","0.00585052454358167","0.00311738075323103"
"('US', 'Production of electricity nec')","5.34899549577514e-07","5.30427158094e-07","5.30842309876034e-07"
"('WA', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')","0.00619484632055247","0.00561240728169224","0.00467782727713457"
"('CN', 'Cultivation of crops nec')","0.0125205610008015","0.0125016419999316","0.000553300452541034"
"('GB', 'Landfill of waste: Textiles')","0.0050370516785719","0.00502378703075542","8.38093330951388e-05"
"('CN', 'Health and social work (85)')","0.00878056992262437","0.00237545969379033","0.0087728510416233"
"('US', 'Public administration and defence; compulsory social security (75)')","0.00658929066085056","0.00364941406483501","0.00541927841601301"
"('WA', 'Sea and coastal water transport')","0.00324018771645437","0.00319020213735338","0.000827876743915995"
"('WM', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.00750137276798085","0.00745432251449505","0.00118811192433933"
"('DE', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.00451830027356827","0.00449233402095572","0.00122547647296712"
"('US', 'Processing of Food products nec')","0.00910791457062639","0.0061490971831974","0.00717576033130402"
"('FI', 'Mining of nickel ores and concentrates')","0.00587098313859467","0.00586270403762164","2.42144110006195e-05"
"('CN', 'Manufacture of tobacco products (16)')","0.0151016780256518","0.0148298426250933","0.000600647642879883"
"('US', 'Incineration of waste: Plastic')","0.00710101218601634","0.00710071346227597","4.95624902907182e-05"
"('JP', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')","0.00018808417789211","0.000168558503217991","0.000175913659404234"
"('US', 'Manufacture of fabricated metal products, except machinery and equipment (28)')","0.01282934179305","0.0111569678178392","0.0075366648590967"
"('JP', 'Construction (45)')","0.00716814850141803","0.00146879525541766","0.00713941274037707"
"('US', 'N-fertiliser')","0.000992577579435771","0.000987781998788371","4.46793572332551e-05"
"('TR', 'Mining of precious metal ores and concentrates')","0.00439001581813091","0.00436385616268496","8.84876939595984e-05"
"('US', 'Education (80)')","0.00711758982251172","0.000574431057353022","0.00711758928777849"
"('WA', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.00209753935487762","0.00137892410094532","0.00171436893128425"
"('IN', 'Petroleum Refinery')","0.00717796829077965","0.00407779735934185","0.00608226338041245"
"('CN', 'Manufacture of radio, television and communication equipment and apparatus (32)')","0.00689810016587362","0.00357822738891667","0.00614825213033297"
"('WA', 'Production of electricity by Geothermal')","0.00777984038766922","0.00777983568981125","5.71282148272958e-06"
"('IN', 'Construction (45)')","0.00694642288574359","0.00152668718594009","0.00688206497939151"
"('AU', 'Mining of coal and lignite; extraction of peat (10)')","0.00569933204378766","0.00537714295346444","0.00165637049057534"
"('DE', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')","0.00398379119574005","0.00302156850520772","0.00377549827529298"
"('JP', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')","0.00340987258890922","0.00241094716529519","0.00339855560892734"
"('IT', 'Production of electricity by biomass and waste')","0.00442841427635976","0.00442503746966804","4.21599304938092e-05"
"('WA', 'Air transport (62)')","0.0019768856280326","0.00088372878257649","0.00183094945352071"
"('DE', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')","0.00565995064863254","0.00256572539302281","0.00559026103926119"
"('JP', 'Mining of other non-ferrous metal ores and concentrates')","0.00540911969896389","0.00525804438265824","0.000354575115298337"
"('GB', 'Collection, purification and distribution of water (41)')","0.00280095308931575","0.00278631889495812","0.000163747309212237"
"('IE', 'Air transport (62)')","0.00145924692466988","0.000682831412628769","0.00132804224092082"
"('WA', 'Inland water transport')","0.00228228841922683","0.00225463889026662","0.000110443665772367"
"('JP', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.00227486399158516","0.0011110194246595","0.00214807383237929"
"('WA', 'Public administration and defence; compulsory social security (75)')","0.00220182848984725","0.000366626301368209","0.00215168913347849"
"('US', 'Production of electricity by petroleum and other oil derivatives')","0.00147889797913552","0.00146971573943048","3.04793586089032e-05"
"('CN', 'Production of electricity by petroleum and other oil derivatives')","0.00458053474364564","0.00458003436586623","1.9454484899998e-05"
"('DE', 'Public administration and defence; compulsory social security (75)')","0.00217609714870693","0.00146065240663305","0.00153148617732524"
"('US', 'Steam and hot water supply')","0.00195403970190422","0.00194066343039781","5.40849784238249e-05"
"('WA', 'Manufacture of furniture; manufacturing n.e.c. (36)')","0.00224624983786224","0.000562909042603143","0.00224489040428963"
"('TR', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')","0.00427348411976538","0.00427208212274157","1.72905760226236e-05"
"('WA', 'Petroleum Refinery')","0.00591434375386745","0.00409685336825217","0.00442356227789593"
"('DE', 'Collection, purification and distribution of water (41)')","0.00249297370386081","0.00246731643528281","0.000139013169478667"
"('CN', 'Raw milk')","0.00869167656210984","0.00866432658190555","0.000706231930208455"
"('DE', 'Incineration of waste: Plastic')","0.00527672536008154","0.00522901118629792","0.000206006035000909"
"('US', 'Production of electricity by hydro')","0.00269470225307044","0.00269454324529012","9.74723664633014e-05"
"('JP', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')","0.0048058700424772","0.00425056130088513","0.00420731543015616"
"('ID', 'Processing vegetable oils and fats')","0.00842011226997472","0.00819887586671231","0.000505098322002541"
"('DE', 'Manufacture of machinery and equipment n.e.c. (29)')","0.0707299121902077","0.0700541004959442","0.00443860480833544"
"('WA', 'Cultivation of crops nec')","0.0118333395363974","0.0117604226814687","0.000597775285691241"
"('WA', 'Plastics, basic')","0.00276664795393772","0.00252866315543916","0.000946391005086416"
"('US', 'Paper')","0.00593604556606636","0.00462389737766635","0.00403932482227222"
"('CA', 'Production of electricity by hydro')","0.00237443700660034","0.00236331504978354","0.000130969121105643"
"('US', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')","0.0040439321011269","0.00324187539837752","0.00252599239658946"
"('US', 'Casting of metals')","0.00202052682838737","0.00168721700777226","0.00107247563795441"
"('KR', 'Petroleum Refinery')","0.00520406754542673","0.00349751512958859","0.00390675718986102"
"('CN', 'Other service activities (93)')","0.00533951619777328","0.00308907255013226","0.00477372683597054"
"('GB', 'Financial intermediation, except insurance and pension funding (65)')","0.00321888934297655","0.00273394541132508","0.0026396323739781"
"('US', 'Production of electricity by biomass and waste')","2.80629380104696e-06","2.10698627724655e-06","2.79352247230635e-06"
"('AU', 'Manufacture of gas; distribution of gaseous fuels through mains')","0.00413187067350516","0.00405099737388061","0.000769246278934659"
"('AU', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.00531560717901947","0.0051166376403397","0.00140453026286308"
"('JP', 'Sea and coastal water transport')","0.00170440774794486","0.00131903803377289","0.00106278249264134"
"('JP', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')","0.00478352827316236","0.00280523765239516","0.00474124302258901"
"('WM', 'Production of electricity by gas')","0.00431492371469477","0.00413501083291863","0.000693993975489332"
"('DE', 'Production of electricity by wind')","0.00264211902095215","0.00263455316967077","0.000118129761410291"
"('US', 'Processing of dairy products')","0.00940734113402445","0.00889937139309955","0.00243001031601282"
"('CN', 'Manufacture of beverages')","0.00823694211868639","0.0080004267823999","0.00173569657036264"
"('WA', 'Sugar refining')","0.00811168592244532","0.00803572885552507","0.000198129879417946"
"('DE', 'Computer and related activities (72)')","0.00191256106692952","0.00169917834499172","0.00188327621087315"
"('CN', 'Publishing, printing and reproduction of recorded media (22)')","0.00492299750298152","0.00240142874923562","0.00490706541876348"
"('WA', 'Financial intermediation, except insurance and pension funding (65)')","0.00245413261337401","0.00199073034594607","0.002037701956326"
"('WA', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')","0.00200661537211919","0.00136440855036252","0.0020021173381871"
"('WA', 'Production of electricity by gas')","0.00375187827103533","0.00366060840840575","0.000384676962885208"
"('AU', 'Construction (45)')","0.00307801222430111","0.00173058264586084","0.00300661561470077"
"('CN', 'Mining of copper ores and concentrates')","0.00190683118404284","0.00190565950983962","1.67541943390723e-05"
"('JP', 'Manufacture of rubber and plastic products (25)')","0.00352013524112312","0.00228020894008993","0.00293872030296973"
"('WA', 'Transport via railways')","0.00347919274421946","0.00330220438728509","0.000612048950094675"
"('US', 'Cultivation of cereal grains nec')","0.00498023655699608","0.00442895144595104","0.00164986551964173"
"('DE', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')","0.00512802087597969","0.00367382331417909","0.00377464327540588"
"('US', 'Manufacture of cement, lime and plaster')","0.00666432510451202","0.00642013666763686","0.00183648991164294"
"('WA', 'Transport via pipelines')","0.00453727386349442","0.00452014568522128","0.00017758762592862"
"('WM', 'Re-processing of secondary steel into new steel')","0.00138579390094453","0.00134771501378123","0.000630378048817506"
"('US', 'Publishing, printing and reproduction of recorded media (22)')","0.00423365588107538","0.002914459216661","0.00421675067584869"
"('GB', 'Construction (45)')","0.00341147113221681","0.00211264806878643","0.00328431370357713"
