"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('CN', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')","0.0518370897702074","0.0517169118996453","0.00361198662978217"
"('US', 'Construction (45)')","0.0512540722429328","0.0474310123672465","0.0174586221159664"
"('US', 'Production of electricity by gas')","0.0482518155080583","0.0482239071326171","0.00101894367385362"
"('DE', 'Production of electricity by biomass and waste')","0.0470558831177351","0.0470558142114853","4.50359591883507e-05"
"('IN', 'N-fertiliser')","0.0460794558082575","0.0460772431844895","0.000294829236428256"
"('US', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.0455286007083641","0.0454934930551077","0.00289368772659267"
"('US', 'Production of electricity by nuclear')","0.044738900011025","0.0447377245454421","0.000263030079199038"
"('CN', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.0431779815618767","0.0431383922977646","0.00390666605069863"
"('CN', 'Production of meat products nec')","0.0418718687655775","0.0418549173499979","0.00145831237279858"
"('CN', 'Transport via pipelines')","0.0418114580040569","0.041809010129285","0.000883180912160172"
"('AU', 'Mining of nickel ores and concentrates')","0.0417091258244504","0.0417052788916566","3.63242632941449e-05"
"('CN', 'Pigs farming')","0.0407845938266619","0.0405936697108277","0.00440778730414838"
"('AU', 'Mining of aluminium ores and concentrates')","0.0401908632925948","0.0401908517545861","4.09126577032067e-06"
"('US', 'Distribution and trade of electricity')","0.0397148210939632","0.0397106601330854","0.00123571585929968"
"('CN', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')","0.0392553331093921","0.0349838673501734","0.0231718598165718"
"('CN', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')","0.0388031135553071","0.0388014749504746","0.000151932736569286"
"('JP', 'Production of electricity nec')","0.0386273200771029","0.0386271879417309","1.275154937725e-05"
"('CN', 'Computer and related activities (72)')","0.0380859449663679","0.0377862785762467","0.00633918863766924"
"('CN', 'Production of electricity by gas')","0.0380276003086175","0.0379428566729467","0.000663435185247042"
"('CN', 'Processing of Food products nec')","0.0371473410906817","0.032258883988307","0.0168722786849001"
"('CN', 'Cultivation of vegetables, fruit, nuts')","0.0366286245136963","0.0350210587084519","0.00628375987839849"
"('US', 'Air transport (62)')","0.0361396306768154","0.0360200793578197","0.00349342605032011"
"('CN', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')","0.035965431683882","0.0357187987380103","0.00619001410617775"
"('US', 'Computer and related activities (72)')","0.0350304853817824","0.0348662197397542","0.00814134353257531"
"('WA', 'Production of electricity by Geothermal')","0.034332080172609","0.034332046361461","1.03294569665172e-05"
"('CN', 'Cultivation of sugar cane, sugar beet')","0.0338904657699311","0.0338775742956712","0.000490925581775201"
"('US', 'Manufacture of other transport equipment (35)')","0.0337968265023434","0.0336147073368691","0.00235207005944265"
"('CN', 'Paper')","0.0329921545513112","0.0307948338384051","0.0105615447171019"
"('US', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')","0.0320441183957651","0.0310841204688916","0.00994961910452299"
"('US', 'Petroleum Refinery')","0.0312965201077433","0.0251296257368834","0.0160511095334488"
"('US', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.0309429052622139","0.0309403395104361","0.00118906770609781"
"('US', 'Retail sale of automotive fuel')","0.0305492776798175","0.0305042338195546","0.00106755492965118"
"('CN', 'Activities auxiliary to financial intermediation (67)')","0.0304167018823802","0.0304079585669088","0.00205446785097118"
"('CN', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')","0.0301795362878209","0.013863257881721","0.0259171160514753"
"('US', 'Other business activities (74)')","0.029746802884597","0.0269798760776089","0.0232064719070003"
"('DE', 'Quarrying of stone')","0.0292948557776302","0.0292919686309778","0.000172830805743479"
"('US', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.0286998150631189","0.0285910332789935","0.0114225597549087"
"('US', 'Production of electricity by Geothermal')","0.0283135213046568","0.0283135211150714","6.45495190711618e-06"
"('CN', 'Cultivation of paddy rice')","0.0276820676344165","0.0276587061035939","0.00135018024890475"
"('CN', 'Manufacture of textiles (17)')","0.0275825081242972","0.0241353294197662","0.0179698642251371"
