"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('US', 'Composting of paper and wood, incl. land application')","0.343745142722424","0.343745140776379","4.99940720322846e-05"
"('CN', 'Production of electricity by coal')","0.282740695779578","0.282392224275167","0.00805409927788298"
"('CN', 'Steam and hot water supply')","0.282038540186212","0.282036506742934","0.000844473839780499"
"('CN', 'Mining of coal and lignite; extraction of peat (10)')","0.278615596363182","0.2774257005088","0.0119592055776918"
"('CN', 'Manufacture of ceramic goods')","0.278524558492721","0.27810982056086","0.010826926710181"
"('CN', 'Aluminium production')","0.271454137570472","0.271106398162263","0.00707524795775201"
"('CN', 'Manufacture of coke oven products')","0.269840064838769","0.269817005538186","0.00325960388681587"
"('CN', 'Manufacture of other non-metallic mineral products n.e.c.')","0.268728766491768","0.268603915688058","0.00714784298363645"
"('CN', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')","0.267589252242888","0.266191882783553","0.0269012949304521"
"('CN', 'Other non-ferrous metal production')","0.266206666710297","0.266161303063214","0.00193698318668337"
"('CN', 'Manufacture of glass and glass products')","0.264345343833427","0.264127417812093","0.00924984998216077"
"('CN', 'Lead, zinc and tin production')","0.241533724852625","0.241526474649252","0.00127765890892135"
"('CN', 'Production of electricity by hydro')","0.19563074243249","0.195625410465786","0.00119525343463696"
"('CN', 'Production of electricity by solar photovoltaic')","0.174274100271106","0.174273871823097","0.000236456543046873"
"('CN', 'Manufacture of fabricated metal products, except machinery and equipment (28)')","0.168477951863901","0.166826589431121","0.0248241942179965"
"('CN', 'Transmission of electricity')","0.165542303086006","0.165533531018327","0.00308344434956555"
"('CN', 'Production of electricity by wind')","0.146520877801304","0.14651994821912","0.000415130555233092"
"('CN', 'Plastics, basic')","0.136285003978226","0.135149497858517","0.0109970744052203"
"('CN', 'Transport via railways')","0.134965345343396","0.134642344908468","0.00428878710692566"
"('CN', 'Casting of metals')","0.117089692949502","0.11704579113556","0.00276071588015061"
"('CN', 'Precious metals production')","0.108969847321067","0.108952406477059","0.00102101843733321"
"('CN', 'Manufacture of rubber and plastic products (25)')","0.104205041008476","0.101765885821749","0.0221856236619183"
"('CN', 'Petroleum Refinery')","0.098129549733597","0.0929078036806691","0.0224268459308526"
"('CN', 'Distribution and trade of electricity')","0.094416892826681","0.0943352154805234","0.00374243446870662"
"('CN', 'Manufacture of cement, lime and plaster')","0.0932718744022341","0.0929521899683332","0.00528072921998473"
"('CN', 'Transport via pipelines')","0.0918737374225042","0.0918550795707082","0.000902242416687416"
"('CN', 'Inland water transport')","0.0875787595604718","0.0875748250295836","0.000386581581543792"
"('CN', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')","0.0830471503059159","0.0816306624112989","0.0191611667483591"
"('CN', 'Manufacture of fish products')","0.0805864140159766","0.0773877231653383","0.011583765595326"
"('CN', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')","0.0796380302081337","0.0795527254112076","0.00361198662978217"
"('CN', 'Construction (45)')","0.0777982827933428","0.0149485970784667","0.0761636682895308"
"('US', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')","0.0766819696340413","0.0731305045480732","0.0189590893530842"
"('CN', 'Sea and coastal water transport')","0.075670182425625","0.0753238093784257","0.00407724034820044"
"('CN', 'Recycling of waste and scrap')","0.074615893223307","0.0746158610991065","2.57807025388197e-05"
"('CN', 'P- and other fertiliser')","0.0730044178435438","0.0721227976140593","0.00666572159930581"
"('GB', 'Composting of food waste, incl. land application')","0.0711454813205099","0.0709209455838486","0.00115253459611685"
"('CN', 'Production of meat products nec')","0.066130532528529","0.066094852085694","0.00145831237279858"
"('US', 'Activities auxiliary to financial intermediation (67)')","0.0654292567452923","0.0654271584262879","0.00869797307950662"
"('CN', 'Air transport (62)')","0.0635200491174188","0.0632617148520377","0.00452976662800812"
"('CN', 'Financial intermediation, except insurance and pension funding (65)')","0.0624436944863169","0.0622360675994536","0.0122398677324247"
"('CN', 'Manufacture of bricks, tiles and construction products, in baked clay')","0.0621559787030834","0.062151546116365","0.000361411391157897"
"('US', 'Post and telecommunications (64)')","0.0618780798954739","0.0617429974160879","0.0125088939981634"
"('US', 'Manufacture of gas; distribution of gaseous fuels through mains')","0.0579868232513721","0.0579829137969784","0.00183165006165283"
"('CN', 'Other land transport')","0.0571085256776179","0.0562932152374244","0.0116809594873909"
"('CN', 'Re-processing of secondary steel into new steel')","0.0570055103638637","0.0567459271627067","0.00532720628283856"
"('CN', 'Pigs farming')","0.0563362404443491","0.0561692524216408","0.00440778730414838"
"('DE', 'Manufacture of machinery and equipment n.e.c. (29)')","0.055520921274537","0.054744862352769","0.00460501357012004"
"('CN', 'Production of electricity by nuclear')","0.0543536982286353","0.0543515878973425","0.000316893710302911"
"('CN', 'Cultivation of vegetables, fruit, nuts')","0.0529542996289497","0.0522010490920187","0.0065202812156338"
"('CN', 'Cultivation of sugar cane, sugar beet')","0.0518489512266954","0.0518476759175833","0.000497650240592076"
"('CN', 'Copper production')","0.0508958114001687","0.0507311083333187","0.00223111729574781"
"('US', 'Insurance and pension funding, except compulsory social security (66)')","0.0500805572570878","0.0490561589352956","0.0166991895413768"
"('CN', 'Processing of Food products nec')","0.0488463869214906","0.0466621981239448","0.0168722786849001"
"('US', 'Other land transport')","0.0479970802246875","0.0474336267945737","0.0102796158860884"
"('SE', 'Mining of copper ores and concentrates')","0.0449601347576747","0.0449526908027845","7.63720685372861e-05"
"('CN', 'Manufacture of other transport equipment (35)')","0.0431368332252014","0.042640805737986","0.00498705295015775"
"('US', 'Financial intermediation, except insurance and pension funding (65)')","0.0415246594880791","0.0410304438773893","0.0141699960677713"
"('CN', 'Cultivation of paddy rice')","0.0393185954290218","0.0393105912569647","0.00136825892826453"
"('CN', 'Paper')","0.0384563451404727","0.0362496243551613","0.0105615447171019"
"('WA', 'Processing vegetable oils and fats')","0.0382799815447783","0.0380348658622436","0.00127393025690914"
"('DE', 'Quarrying of sand and clay')","0.0378079740567923","0.0377688087122658","0.000457872877489195"
"('US', 'Distribution and trade of electricity')","0.0371959749013035","0.0371943141693485","0.00124088064033515"
"('IN', 'N-fertiliser')","0.0366604785960835","0.0366498947159999","0.000294829236428256"
"('US', 'Landfill of waste: Plastic')","0.0356225165963271","0.0356224939301635","4.81380588495562e-05"
"('CN', 'Processed rice')","0.0355594269111846","0.0349719614676088","0.00155557056546432"
"('US', 'Other business activities (74)')","0.0347826558203741","0.0343177216389965","0.0233306971743615"
"('CN', 'Poultry farming')","0.0346431356827925","0.0344096064980776","0.00407806959664125"
"('CN', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')","0.033311537985952","0.0268535221108068","0.0231718598165718"
"('CN', 'Hotels and restaurants (55)')","0.0333011972080373","0.030524501020409","0.0119766523240446"
"('US', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.0323688140982442","0.0323626092515659","0.00119673084841623"
"('US', 'Real estate activities (70)')","0.0316536954434743","0.0231396567422134","0.0306979675602947"
"('AU', 'Mining of nickel ores and concentrates')","0.0313983891704173","0.0313951091354693","3.63242632941449e-05"
"('CN', 'Chemicals nec')","0.03132079212688","0.0275055617234282","0.0137914562914246"
"('AU', 'Mining of aluminium ores and concentrates')","0.0311379042724298","0.031137824304655","4.09126577032067e-06"
"('US', 'Petroleum Refinery')","0.0310016201248411","0.0248043454973185","0.0160511095334488"
"('NL', 'Composting of food waste, incl. land application')","0.0303740861091135","0.0303350090088489","0.000253851371987081"
"('GB', 'Landfill of waste: Textiles')","0.0294585967640376","0.0294451890149044","9.98050813221422e-05"
"('DE', 'Production of electricity by biomass and waste')","0.0294264186857935","0.0294253778943061","4.50359591883507e-05"
"('WA', 'N-fertiliser')","0.029391769066841","0.0293671029271444","0.000206705852631659"
"('CN', 'Processing of meat pigs')","0.0293218319994246","0.0275601363290911","0.00498271390720413"
"('CN', 'Retail sale of automotive fuel')","0.0291738874257002","0.0290984347338602","0.000811158080223685"
"('CN', 'Processing of meat poultry')","0.028479432691583","0.0280805493682906","0.00260294802040324"
"('CN', 'Meat animals nec')","0.028410796248756","0.0283885438686932","0.000438731631420636"
"('CN', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')","0.0283090234866377","0.0140707123597906","0.0264186040442375"
"('CN', 'Manufacture of textiles (17)')","0.0282319647630154","0.0247743076586946","0.0179698642251371"
"('CN', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')","0.0278996951157418","0.0240145794767101","0.0141410847757056"
"('WA', 'Production of meat products nec')","0.026820302412843","0.0263487650329013","0.0014205134210304"
"('US', 'Construction (45)')","0.0261103987502921","0.0187771842050181","0.0174586221159664"
"('CN', 'Production of electricity by gas')","0.0261057355225114","0.0259959863591935","0.000663435185247042"
"('CN', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')","0.0260933906873742","0.0248681330515274","0.00552325427894117"
"('US', 'Production of electricity by gas')","0.0258680645877855","0.0258359690516793","0.00103678157978324"
"('JP', 'Production of electricity nec')","0.0256238439465365","0.0256236648050885","1.275154937725e-05"
"('DE', 'Biogasification of paper, incl. land application')","0.0248333950214388","0.0248330831275905","1.06258150690756e-05"
"('CN', 'Wool, silk-worm cocoons')","0.0246943481975363","0.0246879783571332","0.000100305307667874"
"('CN', 'Insurance and pension funding, except compulsory social security (66)')","0.0245819799264278","0.0241253495689164","0.00483671937078914"
"('CN', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')","0.0242724893578526","0.0242715190316653","0.000151932736569286"
