"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('CN', 'Mining of coal and lignite; extraction of peat (10)')","0.417988941819557","0.417749261156634","0.012232433224647"
"('CN', 'Manufacture of glass and glass products')","0.417806307803295","0.417784410964514","0.00944159606763614"
"('CN', 'Other non-ferrous metal production')","0.417800320167692","0.417766697747597","0.00192014592452682"
"('CN', 'Manufacture of ceramic goods')","0.417795751131255","0.417756570049233","0.0110591683637396"
"('CN', 'Aluminium production')","0.417761244092274","0.417737789929996","0.00713353269132556"
"('CN', 'Manufacture of coke oven products')","0.417748110930418","0.417713949420434","0.003322086505322"
"('CN', 'Steam and hot water supply')","0.417741194958719","0.41773959918821","0.000855938469031897"
"('CN', 'Manufacture of furniture; manufacturing n.e.c. (36)')","0.417729916969418","0.417644761163807","0.0125764221702102"
"('CN', 'Production of electricity by coal')","0.417686077473588","0.417590747840916","0.00822955746239447"
"('CN', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')","0.41768556139871","0.417581745672759","0.0272310415335373"
"('CN', 'Manufacture of other non-metallic mineral products n.e.c.')","0.417607201083255","0.417573708190012","0.0072225200307877"
"('CN', 'Lead, zinc and tin production')","0.417588794723412","0.41758384992306","0.00127698459106802"
"('CN', 'Research and development (73)')","0.341744874662706","0.34167919942305","0.00924317962470522"
"('CN', 'Production of electricity by hydro')","0.329493811580173","0.329491654942308","0.00121506699205422"
"('CN', 'Transmission of electricity')","0.322967217366359","0.322955715149554","0.00315918411499919"
"('CN', 'Production of electricity by solar photovoltaic')","0.318025963439425","0.318025855510284","0.000235128720170474"
"('CN', 'Manufacture of rubber and plastic products (25)')","0.314835429007346","0.314395314587884","0.0228268491499327"
"('CN', 'Production of electricity by wind')","0.261233491382242","0.261232969853537","0.00041868908003077"
"('CN', 'Plastics, basic')","0.255896970976495","0.255479859920162","0.0111450067307517"
"('CN', 'Transport via railways')","0.23101974274113","0.231003855282038","0.00440053335168506"
